"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110","Mh111","Mh112","Mh113","Mh114","Mh115","Mh116","Mh117","Mh118","Mh119","Mh120","Mh121","Mh122","Mh123","Mh124","Mh125","Mh126","Mh127","Mh128","Mh129","Mh130","Mh131","Mh132","Mh133","Mh134","Mh135","Mh136","Mh137","Mh138","Mh139","Mh140","Mh141","Mh142","Mh143","Mh144","Mh145","Mh146","Mh147","Mh148","Mh149","Mh150","Mh151","Mh152","Mh153","Mh154","Mh155","Mh156","Mh157","Mh158","Mh159","Mh160","Mh161","Mh162"
"1",2856442,41,602906,365484,327195,289309,280307,323634,309918,305992,204720,329936,183368,299200,295741,398226,283885,251690,237230,202904,214643,404289,489798,345040,356713,393508,365679,2660,17,11,2,2,0,0,0,0,3,0,2,1,1,0,0,0,1,0,2,0,1,0,3,3,1,1,1,0,1,0,2,0,0,0
"2",2856442,41,602906,365484,327195,289309,280307,323634,309918,305992,204720,329936,183368,299200,295741,398226,283885,251690,237230,202904,214643,404289,489798,345040,356713,393508,365679,2660,17,11,2,2,0,0,0,0,3,0,2,1,1,0,0,0,1,0,2,0,1,0,3,3,1,1,1,0,1,0,2,0,0,0
"3",2856442,41,602906,365484,327195,289309,280307,323634,309918,305992,204720,329936,183368,299200,295741,398226,283885,251690,237230,202904,214643,404289,489798,345040,356713,393508,365679,2660,17,11,2,2,0,0,0,0,3,0,2,1,1,0,0,0,1,0,2,0,1,0,3,3,1,1,1,0,1,0,2,0,0,0
"4",2856442,41,602906,365484,327195,289309,280307,323634,309918,305992,204720,329936,183368,299200,295741,398226,283885,251690,237230,202904,214643,404289,489798,345040,356713,393508,365679,2660,17,11,2,2,0,0,0,0,3,0,2,1,1,0,0,0,1,0,2,0,1,0,3,3,1,1,1,0,1,0,2,0,0,0
"5",591813,252945,249479,255311,246387,169985,161796,216049,198316,195121,239240,198898,173204,137738,302312,187772,197825,223243,179721,137870,125711,150962,154745,139086,111936,117807,97986,1906,284034,298064,187495,258916,249068,168194,187971,218394,234923,227093,208030,613547,348530,481711,551631,525555,489254,526222,444980,326228,390466,593158,545566,474358,692055,529745,484956,585303,801897,690296,537462,330536,320893,256247
"6",591813,252945,249479,255311,246387,169985,161796,216049,198316,195121,239240,198898,173204,137738,302312,187772,197825,223243,179721,137870,125711,150962,154745,139086,111936,117807,97986,1906,284034,298064,187495,258916,249068,168194,187971,218394,234923,227093,208030,613547,348530,481711,551631,525555,489254,526222,444980,326228,390466,593158,545566,474358,692055,529745,484956,585303,801897,690296,537462,330536,320893,256247
"7",591813,252945,249479,255311,246387,169985,161796,216049,198316,195121,239240,198898,173204,137738,302312,187772,197825,223243,179721,137870,125711,150962,154745,139086,111936,117807,97986,1906,284034,298064,187495,258916,249068,168194,187971,218394,234923,227093,208030,613547,348530,481711,551631,525555,489254,526222,444980,326228,390466,593158,545566,474358,692055,529745,484956,585303,801897,690296,537462,330536,320893,256247
"8",591813,252945,249479,255311,246387,169985,161796,216049,198316,195121,239240,198898,173204,137738,302312,187772,197825,223243,179721,137870,125711,150962,154745,139086,111936,117807,97986,1906,284034,298064,187495,258916,249068,168194,187971,218394,234923,227093,208030,613547,348530,481711,551631,525555,489254,526222,444980,326228,390466,593158,545566,474358,692055,529745,484956,585303,801897,690296,537462,330536,320893,256247
"9",2717445,983528,942835,775792,834078,791391,788155,824294,845366,870994,1006813,954222,906187,1096847,1493163,1192309,1338008,1201775,1088137,882632,926699,1017570,869396,744202,605132,688580,709992,22108,524488,1752255,1173169,1491723,1469678,1544796,1348687,1483385,1387073,978235,997998,1191969,1093015,1176904,1293485,1297250,1334876,1193981,1066653,965430,1269200,1433442,1399518,1663167,1770740,1466617,1191376,1524186,1533897,1709726,1300190,1080996,925216,773319
"10",2717445,983528,942835,775792,834078,791391,788155,824294,845366,870994,1006813,954222,906187,1096847,1493163,1192309,1338008,1201775,1088137,882632,926699,1017570,869396,744202,605132,688580,709992,22108,524488,1752255,1173169,1491723,1469678,1544796,1348687,1483385,1387073,978235,997998,1191969,1093015,1176904,1293485,1297250,1334876,1193981,1066653,965430,1269200,1433442,1399518,1663167,1770740,1466617,1191376,1524186,1533897,1709726,1300190,1080996,925216,773319
"11",2717445,983528,942835,775792,834078,791391,788155,824294,845366,870994,1006813,954222,906187,1096847,1493163,1192309,1338008,1201775,1088137,882632,926699,1017570,869396,744202,605132,688580,709992,22108,524488,1752255,1173169,1491723,1469678,1544796,1348687,1483385,1387073,978235,997998,1191969,1093015,1176904,1293485,1297250,1334876,1193981,1066653,965430,1269200,1433442,1399518,1663167,1770740,1466617,1191376,1524186,1533897,1709726,1300190,1080996,925216,773319
"12",2717445,983528,942835,775792,834078,791391,788155,824294,845366,870994,1006813,954222,906187,1096847,1493163,1192309,1338008,1201775,1088137,882632,926699,1017570,869396,744202,605132,688580,709992,22108,524488,1752255,1173169,1491723,1469678,1544796,1348687,1483385,1387073,978235,997998,1191969,1093015,1176904,1293485,1297250,1334876,1193981,1066653,965430,1269200,1433442,1399518,1663167,1770740,1466617,1191376,1524186,1533897,1709726,1300190,1080996,925216,773319
"13",4273057,1398237,1309691,1063325,1018496,1002988,1139147,1045667,1017801,1111682,1232714,1164052,1001974,1149376,1458932,1338532,1484995,1335307,1136539,938073,1195560,1418037,1188382,1125808,1118425,1015765,1100856,46283,647379,2010249,1584387,1842203,1706921,1530924,1421525,1750878,1893432,1259426,1417314,1373110,1252266,1570301,1794807,1776497,1650717,1448123,1346369,1306281,1642582,1948923,2013551,2243274,2278676,1957007,1724579,1969877,2072777,2449010,2108360,1652038,1477782,1352525
"14",4273057,1398237,1309691,1063325,1018496,1002988,1139147,1045667,1017801,1111682,1232714,1164052,1001974,1149376,1458932,1338532,1484995,1335307,1136539,938073,1195560,1418037,1188382,1125808,1118425,1015765,1100856,46283,647379,2010249,1584387,1842203,1706921,1530924,1421525,1750878,1893432,1259426,1417314,1373110,1252266,1570301,1794807,1776497,1650717,1448123,1346369,1306281,1642582,1948923,2013551,2243274,2278676,1957007,1724579,1969877,2072777,2449010,2108360,1652038,1477782,1352525
"15",4273057,1398237,1309691,1063325,1018496,1002988,1139147,1045667,1017801,1111682,1232714,1164052,1001974,1149376,1458932,1338532,1484995,1335307,1136539,938073,1195560,1418037,1188382,1125808,1118425,1015765,1100856,46283,647379,2010249,1584387,1842203,1706921,1530924,1421525,1750878,1893432,1259426,1417314,1373110,1252266,1570301,1794807,1776497,1650717,1448123,1346369,1306281,1642582,1948923,2013551,2243274,2278676,1957007,1724579,1969877,2072777,2449010,2108360,1652038,1477782,1352525
"16",4273057,1398237,1309691,1063325,1018496,1002988,1139147,1045667,1017801,1111682,1232714,1164052,1001974,1149376,1458932,1338532,1484995,1335307,1136539,938073,1195560,1418037,1188382,1125808,1118425,1015765,1100856,46283,647379,2010249,1584387,1842203,1706921,1530924,1421525,1750878,1893432,1259426,1417314,1373110,1252266,1570301,1794807,1776497,1650717,1448123,1346369,1306281,1642582,1948923,2013551,2243274,2278676,1957007,1724579,1969877,2072777,2449010,2108360,1652038,1477782,1352525
"17",76277,11377,11803,11547,10015,7662,7735,10843,9769,9292,8063,7787,5897,6378,7125,7811,8493,8293,7223,5588,5581,8490,8179,7700,7045,6761,3960,111,1694,7060,4941,6796,6114,4277,4544,6206,31570,98434,5270,456823,215255,296724,299950,255354,250201,229680,251381,174296,255902,255830,271538,251069,328596,177312,204222,279492,409625,93034,5330,4871,4891,3586
"18",76277,11377,11803,11547,10015,7662,7735,10843,9769,9292,8063,7787,5897,6378,7125,7811,8493,8293,7223,5588,5581,8490,8179,7700,7045,6761,3960,111,1694,7060,4941,6796,6114,4277,4544,6206,31570,98434,5270,456823,215255,296724,299950,255354,250201,229680,251381,174296,255902,255830,271538,251069,328596,177312,204222,279492,409625,93034,5330,4871,4891,3586
"19",76277,11377,11803,11547,10015,7662,7735,10843,9769,9292,8063,7787,5897,6378,7125,7811,8493,8293,7223,5588,5581,8490,8179,7700,7045,6761,3960,111,1694,7060,4941,6796,6114,4277,4544,6206,31570,98434,5270,456823,215255,296724,299950,255354,250201,229680,251381,174296,255902,255830,271538,251069,328596,177312,204222,279492,409625,93034,5330,4871,4891,3586
"20",76277,11377,11803,11547,10015,7662,7735,10843,9769,9292,8063,7787,5897,6378,7125,7811,8493,8293,7223,5588,5581,8490,8179,7700,7045,6761,3960,111,1694,7060,4941,6796,6114,4277,4544,6206,31570,98434,5270,456823,215255,296724,299950,255354,250201,229680,251381,174296,255902,255830,271538,251069,328596,177312,204222,279492,409625,93034,5330,4871,4891,3586
"21",104426,14859,16543,15893,14285,10496,11983,15204,14892,14492,12744,13020,9843,10179,12794,12764,13182,12920,12503,9371,9089,12713,12312,10693,10954,10173,7652,187,2594,11917,7788,11456,11350,7973,8395,10397,10450,10250,9181,9114,6926,6979,10010,9505,8766,8670,9116,6405,7159,9499,8669,8639,8764,7640,6011,6601,8767,9324,9830,9047,8393,6011
"22",104426,14859,16543,15893,14285,10496,11983,15204,14892,14492,12744,13020,9843,10179,12794,12764,13182,12920,12503,9371,9089,12713,12312,10693,10954,10173,7652,187,2594,11917,7788,11456,11350,7973,8395,10397,10450,10250,9181,9114,6926,6979,10010,9505,8766,8670,9116,6405,7159,9499,8669,8639,8764,7640,6011,6601,8767,9324,9830,9047,8393,6011
"23",104426,14859,16543,15893,14285,10496,11983,15204,14892,14492,12744,13020,9843,10179,12794,12764,13182,12920,12503,9371,9089,12713,12312,10693,10954,10173,7652,187,2594,11917,7788,11456,11350,7973,8395,10397,10450,10250,9181,9114,6926,6979,10010,9505,8766,8670,9116,6405,7159,9499,8669,8639,8764,7640,6011,6601,8767,9324,9830,9047,8393,6011
"24",104426,14859,16543,15893,14285,10496,11983,15204,14892,14492,12744,13020,9843,10179,12794,12764,13182,12920,12503,9371,9089,12713,12312,10693,10954,10173,7652,187,2594,11917,7788,11456,11350,7973,8395,10397,10450,10250,9181,9114,6926,6979,10010,9505,8766,8670,9116,6405,7159,9499,8669,8639,8764,7640,6011,6601,8767,9324,9830,9047,8393,6011
"25",110845,13983,14546,13608,11793,9403,10174,12582,12336,11213,11555,10251,8317,8519,10884,10062,10493,9560,9083,6404,6751,9034,8356,7154,7394,6794,5631,136,1961,8516,6728,8414,7586,5590,5947,7516,8661,7039,6269,7007,6112,6168,7963,7419,7688,6964,7382,5770,6224,7033,5862,6911,6196,6078,5518,6023,6949,6996,7156,6246,6452,5221
"26",110845,13983,14546,13608,11793,9403,10174,12582,12336,11213,11555,10251,8317,8519,10884,10062,10493,9560,9083,6404,6751,9034,8356,7154,7394,6794,5631,136,1961,8516,6728,8414,7586,5590,5947,7516,8661,7039,6269,7007,6112,6168,7963,7419,7688,6964,7382,5770,6224,7033,5862,6911,6196,6078,5518,6023,6949,6996,7156,6246,6452,5221
"27",110845,13983,14546,13608,11793,9403,10174,12582,12336,11213,11555,10251,8317,8519,10884,10062,10493,9560,9083,6404,6751,9034,8356,7154,7394,6794,5631,136,1961,8516,6728,8414,7586,5590,5947,7516,8661,7039,6269,7007,6112,6168,7963,7419,7688,6964,7382,5770,6224,7033,5862,6911,6196,6078,5518,6023,6949,6996,7156,6246,6452,5221
"28",110845,13983,14546,13608,11793,9403,10174,12582,12336,11213,11555,10251,8317,8519,10884,10062,10493,9560,9083,6404,6751,9034,8356,7154,7394,6794,5631,136,1961,8516,6728,8414,7586,5590,5947,7516,8661,7039,6269,7007,6112,6168,7963,7419,7688,6964,7382,5770,6224,7033,5862,6911,6196,6078,5518,6023,6949,6996,7156,6246,6452,5221
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14128,14214,13673,13761,14085,15571,15345,47591,47223,47385,45266,44272,44594,43505,45041,45642,45831,47058,47398,28402,14,10,10,12,4,9,8,5,5,15,6
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14128,14214,13673,13761,14085,15571,15345,47591,47223,47385,45266,44272,44594,43505,45041,45642,45831,47058,47398,28402,14,10,10,12,4,9,8,5,5,15,6
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14128,14214,13673,13761,14085,15571,15345,47591,47223,47385,45266,44272,44594,43505,45041,45642,45831,47058,47398,28402,14,10,10,12,4,9,8,5,5,15,6
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14128,14214,13673,13761,14085,15571,15345,47591,47223,47385,45266,44272,44594,43505,45041,45642,45831,47058,47398,28402,14,10,10,12,4,9,8,5,5,15,6
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37114,37083,36512,36991,36943,36805,36465,113585,112836,117258,116975,116047,115255,117890,112573,112648,105882,106281,111144,67429,22,9,6,10,10,10,9,4,4,3,4
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37114,37083,36512,36991,36943,36805,36465,113585,112836,117258,116975,116047,115255,117890,112573,112648,105882,106281,111144,67429,22,9,6,10,10,10,9,4,4,3,4
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37114,37083,36512,36991,36943,36805,36465,113585,112836,117258,116975,116047,115255,117890,112573,112648,105882,106281,111144,67429,22,9,6,10,10,10,9,4,4,3,4
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37114,37083,36512,36991,36943,36805,36465,113585,112836,117258,116975,116047,115255,117890,112573,112648,105882,106281,111144,67429,22,9,6,10,10,10,9,4,4,3,4
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26662,24537,25549,24435,25784,24214,25447,83726,84698,79101,80574,84093,83039,82542,87893,86891,80285,85724,87280,50687,29,7,7,10,11,8,11,4,4,7,2
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26662,24537,25549,24435,25784,24214,25447,83726,84698,79101,80574,84093,83039,82542,87893,86891,80285,85724,87280,50687,29,7,7,10,11,8,11,4,4,7,2
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26662,24537,25549,24435,25784,24214,25447,83726,84698,79101,80574,84093,83039,82542,87893,86891,80285,85724,87280,50687,29,7,7,10,11,8,11,4,4,7,2
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26662,24537,25549,24435,25784,24214,25447,83726,84698,79101,80574,84093,83039,82542,87893,86891,80285,85724,87280,50687,29,7,7,10,11,8,11,4,4,7,2
"41",95018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",95018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",95018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",95018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",195419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",195419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",195419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",195419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,594444,609242,530120,536791,527124,503258,673237,590638,679506,602951,628570,607577,614318,0,0,0,0,0,101127,246598,255865,448354,385154,329785,271713,237145,287058,377036,401947,440697,333418,269163,238832,265559,293299,290884,282318,279001,670215,550627,599998,658428,686212,647207,446901,375015,401719,398685
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,594444,609242,530120,536791,527124,503258,673237,590638,679506,602951,628570,607577,614318,0,0,0,0,0,101127,246598,255865,448354,385154,329785,271713,237145,287058,377036,401947,440697,333418,269163,238832,265559,293299,290884,282318,279001,670215,550627,599998,658428,686212,647207,446901,375015,401719,398685
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,594444,609242,530120,536791,527124,503258,673237,590638,679506,602951,628570,607577,614318,0,0,0,0,0,101127,246598,255865,448354,385154,329785,271713,237145,287058,377036,401947,440697,333418,269163,238832,265559,293299,290884,282318,279001,670215,550627,599998,658428,686212,647207,446901,375015,401719,398685
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,594444,609242,530120,536791,527124,503258,673237,590638,679506,602951,628570,607577,614318,0,0,0,0,0,101127,246598,255865,448354,385154,329785,271713,237145,287058,377036,401947,440697,333418,269163,238832,265559,293299,290884,282318,279001,670215,550627,599998,658428,686212,647207,446901,375015,401719,398685
"53",1791997,196437,213760,280379,342634,165297,175058,206688,279421,197699,355653,584408,384534,465927,833119,767416,683885,21301,526084,358135,335530,436440,560947,252681,256165,247651,184746,82443,109111,113295,95290,108128,101812,70272,70656,132325,134350,101835,101772,101780,84921,89991,105670,60950,60682,61716,61075,60448,61802,60181,61288,61828,61366,61048,60930,60538,60705,44792,225521,218484,204238,136130
"54",1791997,196437,213760,280379,342634,165297,175058,206688,279421,197699,355653,584408,384534,465927,833119,767416,683885,21301,526084,358135,335530,436440,560947,252681,256165,247651,184746,82443,109111,113295,95290,108128,101812,70272,70656,132325,134350,101835,101772,101780,84921,89991,105670,60950,60682,61716,61075,60448,61802,60181,61288,61828,61366,61048,60930,60538,60705,44792,225521,218484,204238,136130
"55",1791997,196437,213760,280379,342634,165297,175058,206688,279421,197699,355653,584408,384534,465927,833119,767416,683885,21301,526084,358135,335530,436440,560947,252681,256165,247651,184746,82443,109111,113295,95290,108128,101812,70272,70656,132325,134350,101835,101772,101780,84921,89991,105670,60950,60682,61716,61075,60448,61802,60181,61288,61828,61366,61048,60930,60538,60705,44792,225521,218484,204238,136130
"56",1791997,196437,213760,280379,342634,165297,175058,206688,279421,197699,355653,584408,384534,465927,833119,767416,683885,21301,526084,358135,335530,436440,560947,252681,256165,247651,184746,82443,109111,113295,95290,108128,101812,70272,70656,132325,134350,101835,101772,101780,84921,89991,105670,60950,60682,61716,61075,60448,61802,60181,61288,61828,61366,61048,60930,60538,60705,44792,225521,218484,204238,136130
"57",773965,100891,315856,281123,210132,185587,234964,210349,210242,210266,210266,200107,126337,127318,125356,127495,125021,288,251617,126660,126601,639281,614979,440267,247033,161027,120083,305050,305121,305084,304944,304008,306208,257404,208333,273885,281447,268683,166903,234245,161117,168811,261093,184593,205028,227390,243486,177985,196827,266583,341657,391673,210075,265036,182489,181557,182014,134271,331708,0,0,0
"58",773965,100891,315856,281123,210132,185587,234964,210349,210242,210266,210266,200107,126337,127318,125356,127495,125021,288,251617,126660,126601,639281,614979,440267,247033,161027,120083,305050,305121,305084,304944,304008,306208,257404,208333,273885,281447,268683,166903,234245,161117,168811,261093,184593,205028,227390,243486,177985,196827,266583,341657,391673,210075,265036,182489,181557,182014,134271,331708,0,0,0
"59",773965,100891,315856,281123,210132,185587,234964,210349,210242,210266,210266,200107,126337,127318,125356,127495,125021,288,251617,126660,126601,639281,614979,440267,247033,161027,120083,305050,305121,305084,304944,304008,306208,257404,208333,273885,281447,268683,166903,234245,161117,168811,261093,184593,205028,227390,243486,177985,196827,266583,341657,391673,210075,265036,182489,181557,182014,134271,331708,0,0,0
"60",773965,100891,315856,281123,210132,185587,234964,210349,210242,210266,210266,200107,126337,127318,125356,127495,125021,288,251617,126660,126601,639281,614979,440267,247033,161027,120083,305050,305121,305084,304944,304008,306208,257404,208333,273885,281447,268683,166903,234245,161117,168811,261093,184593,205028,227390,243486,177985,196827,266583,341657,391673,210075,265036,182489,181557,182014,134271,331708,0,0,0
"61",1931194,153790,111893,152176,133086,112104,120808,129971,107132,149351,132382,123582,136891,117544,106621,130748,26634,270505,96762,112683,136307,51077,1565,98095,21706,20351,281393,115,18,3,4,1,3,1,0,0,0,0,2,5,1,5,0,1,0,0,1,0,0,0,0,0,0,1,5,2,2,2,0,0,2,1
"62",1931194,153790,111893,152176,133086,112104,120808,129971,107132,149351,132382,123582,136891,117544,106621,130748,26634,270505,96762,112683,136307,51077,1565,98095,21706,20351,281393,115,18,3,4,1,3,1,0,0,0,0,2,5,1,5,0,1,0,0,1,0,0,0,0,0,0,1,5,2,2,2,0,0,2,1
"63",1931194,153790,111893,152176,133086,112104,120808,129971,107132,149351,132382,123582,136891,117544,106621,130748,26634,270505,96762,112683,136307,51077,1565,98095,21706,20351,281393,115,18,3,4,1,3,1,0,0,0,0,2,5,1,5,0,1,0,0,1,0,0,0,0,0,0,1,5,2,2,2,0,0,2,1
"64",1931194,153790,111893,152176,133086,112104,120808,129971,107132,149351,132382,123582,136891,117544,106621,130748,26634,270505,96762,112683,136307,51077,1565,98095,21706,20351,281393,115,18,3,4,1,3,1,0,0,0,0,2,5,1,5,0,1,0,0,1,0,0,0,0,0,0,1,5,2,2,2,0,0,2,1
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579735,275299,235972,203978,201718,201862,202213,146110,153335,192879,271071,249606,144942,121995,120410,121182,121562,122732,120878,77609,39,31,7,12,8,11,6,672043,111595,62125,99
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579735,275299,235972,203978,201718,201862,202213,146110,153335,192879,271071,249606,144942,121995,120410,121182,121562,122732,120878,77609,39,31,7,12,8,11,6,672043,111595,62125,99
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579735,275299,235972,203978,201718,201862,202213,146110,153335,192879,271071,249606,144942,121995,120410,121182,121562,122732,120878,77609,39,31,7,12,8,11,6,672043,111595,62125,99
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579735,275299,235972,203978,201718,201862,202213,146110,153335,192879,271071,249606,144942,121995,120410,121182,121562,122732,120878,77609,39,31,7,12,8,11,6,672043,111595,62125,99
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13957,4092,4085,4094,4066,4057,4036,4070,4059,4098,4121,4079,2965,2495,2434,2523,2480,2456,2436,1580,5,7,3,4,6,1,3,13537,2298,2078,1
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13957,4092,4085,4094,4066,4057,4036,4070,4059,4098,4121,4079,2965,2495,2434,2523,2480,2456,2436,1580,5,7,3,4,6,1,3,13537,2298,2078,1
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13957,4092,4085,4094,4066,4057,4036,4070,4059,4098,4121,4079,2965,2495,2434,2523,2480,2456,2436,1580,5,7,3,4,6,1,3,13537,2298,2078,1
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13957,4092,4085,4094,4066,4057,4036,4070,4059,4098,4121,4079,2965,2495,2434,2523,2480,2456,2436,1580,5,7,3,4,6,1,3,13537,2298,2078,1
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316,5873
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316,5873
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316,5873
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316,5873
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295271,64368
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295271,64368
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295271,64368
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295271,64368
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285774,65002
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285774,65002
